Comunidades y Ciudades Autónomas;Periodo;Total
02 Aragón;1999;-3,27
02 Aragón;1998;-3,21
02 Aragón;1997;-2,79
02 Aragón;1996;-2,69
02 Aragón;1995;-2,62
02 Aragón;1994;-2,05
02 Aragón;1993;-2,13
02 Aragón;1992;-1,15
02 Aragón;1991;-1,84
02 Aragón;1990;-1,55
02 Aragón;1989;-1,08
02 Aragón;1988;-0,5
02 Aragón;1987;-0,22
02 Aragón;1986;-0,21
02 Aragón;1985;0,2
02 Aragón;1984;0,86
02 Aragón;1983;1,24
02 Aragón;1982;2,8
02 Aragón;1981;3,08
02 Aragón;1980;3,94
02 Aragón;1979;4,44
02 Aragón;1978;5,01
02 Aragón;1977;5,59
02 Aragón;1976;5,9
02 Aragón;1975;5,56
03 Asturias, Principado de;2024;-8,47
03 Asturias, Principado de;2023;-8,4
03 Asturias, Principado de;2022;-9,14
03 Asturias, Principado de;2021;-8,51
03 Asturias, Principado de;2020;-9,64
03 Asturias, Principado de;2019;-7,6
03 Asturias, Principado de;2018;-7,33
03 Asturias, Principado de;2017;-6,94
03 Asturias, Principado de;2016;-6,62
03 Asturias, Principado de;2015;-6,8
03 Asturias, Principado de;2014;-5,9
03 Asturias, Principado de;2013;-5,69
03 Asturias, Principado de;2012;-5,17
03 Asturias, Principado de;2011;-4,55
03 Asturias, Principado de;2010;-4,61
03 Asturias, Principado de;2009;-4,23
03 Asturias, Principado de;2008;-4,21
03 Asturias, Principado de;2007;-4,53
03 Asturias, Principado de;2006;-4,46
03 Asturias, Principado de;2005;-4,91
03 Asturias, Principado de;2004;-5,02
03 Asturias, Principado de;2003;-5,31
03 Asturias, Principado de;2002;-5,36
03 Asturias, Principado de;2001;-4,77
03 Asturias, Principado de;2000;-5,31
03 Asturias, Principado de;1999;-5,7
03 Asturias, Principado de;1998;-5,51
03 Asturias, Principado de;1997;-4,89
03 Asturias, Principado de;1996;-5,21
03 Asturias, Principado de;1995;-4,98
03 Asturias, Principado de;1994;-4,25
03 Asturias, Principado de;1993;-4,35
03 Asturias, Principado de;1992;-3,56
03 Asturias, Principado de;1991;-3,45
03 Asturias, Principado de;1990;-3,31
03 Asturias, Principado de;1989;-2,75
03 Asturias, Principado de;1988;-2,12
03 Asturias, Principado de;1987;-1,13
03 Asturias, Principado de;1986;-0,29
03 Asturias, Principado de;1985;-0,27
03 Asturias, Principado de;1984;0,72
03 Asturias, Principado de;1983;1,44
03 Asturias, Principado de;1982;2,1
03 Asturias, Principado de;1981;3,1
03 Asturias, Principado de;1980;3,72
03 Asturias, Principado de;1979;4,87
03 Asturias, Principado de;1978;5,63
03 Asturias, Principado de;1977;6,56
03 Asturias, Principado de;1976;7,42
03 Asturias, Principado de;1975;7,1
04 Balears, Illes;2024;0,05
04 Balears, Illes;2023;0,08
04 Balears, Illes;2022;-0,2
04 Balears, Illes;2021;0,61
04 Balears, Illes;2020;0,76
04 Balears, Illes;2019;1,45
04 Balears, Illes;2018;1,81
04 Balears, Illes;2017;1,71
04 Balears, Illes;2016;2,38
04 Balears, Illes;2015;2,04
04 Balears, Illes;2014;2,55
04 Balears, Illes;2013;2,6
04 Balears, Illes;2012;2,66
04 Balears, Illes;2011;3,28
04 Balears, Illes;2010;3,94
04 Balears, Illes;2009;3,94
04 Balears, Illes;2008;4,94
04 Balears, Illes;2007;4,57
04 Balears, Illes;2006;4,48
04 Balears, Illes;2005;3,73
04 Balears, Illes;2004;4,05
04 Balears, Illes;2003;3,67
04 Balears, Illes;2002;3,82
04 Balears, Illes;2001;3,39
04 Balears, Illes;2000;2,66
04 Balears, Illes;1999;1,76
04 Balears, Illes;1998;1,54
04 Balears, Illes;1997;1,54
04 Balears, Illes;1996;1,3
04 Balears, Illes;1995;1,08
04 Balears, Illes;1994;1,36
04 Balears, Illes;1993;1,48
04 Balears, Illes;1992;2,55
04 Balears, Illes;1991;2,42
04 Balears, Illes;1990;2,95
04 Balears, Illes;1989;3,06
04 Balears, Illes;1988;3,57
04 Balears, Illes;1987;3,22
04 Balears, Illes;1986;3,07
04 Balears, Illes;1985;3,61
04 Balears, Illes;1984;4,04
04 Balears, Illes;1983;3,69
04 Balears, Illes;1982;5,18
04 Balears, Illes;1981;5,94
04 Balears, Illes;1980;6,64
04 Balears, Illes;1979;7,01
04 Balears, Illes;1978;7,14
04 Balears, Illes;1977;7,71
04 Balears, Illes;1976;8,98
04 Balears, Illes;1975;9
05 Canarias;2024;-2,6
05 Canarias;2023;-2,62
05 Canarias;2022;-2,95
05 Canarias;2021;-2,02
05 Canarias;2020;-1,52
05 Canarias;2019;-0,75
05 Canarias;2018;-0,72
05 Canarias;2017;0,25
05 Canarias;2016;0,53
05 Canarias;2015;0,49
05 Canarias;2014;0,99
05 Canarias;2013;1,07
05 Canarias;2012;1,49
05 Canarias;2011;1,86
05 Canarias;2010;2,68
05 Canarias;2009;2,98
05 Canarias;2008;3,59
05 Canarias;2007;3,35
05 Canarias;2006;4,15
05 Canarias;2005;3,91
05 Canarias;2004;3,66
05 Canarias;2003;3,89
05 Canarias;2002;4,39
05 Canarias;2001;4,35
05 Canarias;2000;4,17
05 Canarias;1999;4,12
05 Canarias;1998;3,48
05 Canarias;1997;3,91
05 Canarias;1996;3,77
05 Canarias;1995;4,16
05 Canarias;1994;4,27
05 Canarias;1993;4,53
05 Canarias;1992;5,31
05 Canarias;1991;5,35
05 Canarias;1990;5,79
05 Canarias;1989;6,25
05 Canarias;1988;6,75
05 Canarias;1987;6,96
05 Canarias;1986;7,29
05 Canarias;1985;7,34
05 Canarias;1984;8,29
05 Canarias;1983;9,05
05 Canarias;1982;10,1
05 Canarias;1981;11,1
05 Canarias;1980;12,15
05 Canarias;1979;12,76
05 Canarias;1978;13,17
05 Canarias;1977;14,13
05 Canarias;1976;14,92
05 Canarias;1975;15,77
06 Cantabria;2024;-5,22
06 Cantabria;2023;-5,18
06 Cantabria;2022;-6,04
06 Cantabria;2021;-4,73
06 Cantabria;2020;-5,25
06 Cantabria;2019;-4,24
06 Cantabria;2018;-3,94
06 Cantabria;2017;-3,17
06 Cantabria;2016;-2,91
06 Cantabria;2015;-2,86
06 Cantabria;2014;-2,28
06 Cantabria;2013;-1,31
06 Cantabria;2012;-1,27
06 Cantabria;2011;-0,44
06 Cantabria;2010;0,18
06 Cantabria;2009;0,18
06 Cantabria;2008;0,63
06 Cantabria;2007;-0,41
06 Cantabria;2006;-0,39
06 Cantabria;2005;-0,18
06 Cantabria;2004;-0,28
06 Cantabria;2003;-0,97
06 Cantabria;2002;-1,33
06 Cantabria;2001;-1,49
06 Cantabria;2000;-1,86
06 Cantabria;1999;-2,56
06 Cantabria;1998;-2,5
06 Cantabria;1997;-2,23
06 Cantabria;1996;-2,5
06 Cantabria;1995;-2,44
06 Cantabria;1994;-1,99
06 Cantabria;1993;-1,53
06 Cantabria;1992;-0,96
06 Cantabria;1991;-0,76
06 Cantabria;1990;-0,28
06 Cantabria;1989;-0,1
06 Cantabria;1988;0,83
06 Cantabria;1987;1,68
06 Cantabria;1986;1,84
06 Cantabria;1985;2,23
06 Cantabria;1984;3,35
06 Cantabria;1983;4,12
06 Cantabria;1982;5,49
06 Cantabria;1981;6,46
06 Cantabria;1980;7,28
06 Cantabria;1979;7,9
06 Cantabria;1978;9,63
06 Cantabria;1977;9,32
06 Cantabria;1976;9,98
06 Cantabria;1975;9,2
07 Castilla y León;2024;-6,69
07 Castilla y León;2023;-6,54
07 Castilla y León;2022;-7,51
07 Castilla y León;2021;-6,81
07 Castilla y León;2020;-9,44
07 Castilla y León;2019;-6
07 Castilla y León;2018;-5,92
07 Castilla y León;2017;-5,56
07 Castilla y León;2016;-4,82
07 Castilla y León;2015;-4,84
07 Castilla y León;2014;-3,99
07 Castilla y León;2013;-3,86
07 Castilla y León;2012;-3,65
07 Castilla y León;2011;-2,84
07 Castilla y León;2010;-2,6
07 Castilla y León;2009;-2,64
07 Castilla y León;2008;-2,39
07 Castilla y León;2007;-2,88
07 Castilla y León;2006;-2,55
07 Castilla y León;2005;-3,23
07 Castilla y León;2004;-3,01
07 Castilla y León;2003;-3,4
07 Castilla y León;2002;-3,36
07 Castilla y León;2001;-3,16
07 Castilla y León;2000;-3,16
07 Castilla y León;1999;-3,65
07 Castilla y León;1998;-3,55
07 Castilla y León;1997;-2,7
07 Castilla y León;1996;-2,93
07 Castilla y León;1995;-2,71
07 Castilla y León;1994;-2,29
07 Castilla y León;1993;-2,02
07 Castilla y León;1992;-1,66
07 Castilla y León;1991;-1,53
07 Castilla y León;1990;-1,09
07 Castilla y León;1989;-0,37
07 Castilla y León;1988;-0,15
07 Castilla y León;1987;0,63
07 Castilla y León;1986;1,01
07 Castilla y León;1985;1,43
07 Castilla y León;1984;2,36
07 Castilla y León;1983;2,64
07 Castilla y León;1982;3,86
07 Castilla y León;1981;3,77
07 Castilla y León;1980;4,63
07 Castilla y León;1979;4,83
07 Castilla y León;1978;5,24
07 Castilla y León;1977;5,13
07 Castilla y León;1976;5,58
07 Castilla y León;1975;5,16
08 Castilla - La Mancha;2024;-2,63
08 Castilla - La Mancha;2023;-2,57
08 Castilla - La Mancha;2022;-2,91
08 Castilla - La Mancha;2021;-2,86
08 Castilla - La Mancha;2020;-5,42
08 Castilla - La Mancha;2019;-2,03
08 Castilla - La Mancha;2018;-1,84
08 Castilla - La Mancha;2017;-1,64
08 Castilla - La Mancha;2016;-0,66
08 Castilla - La Mancha;2015;-0,83
08 Castilla - La Mancha;2014;0,01
08 Castilla - La Mancha;2013;0,4
08 Castilla - La Mancha;2012;0,63
08 Castilla - La Mancha;2011;1,57
08 Castilla - La Mancha;2010;2,17
08 Castilla - La Mancha;2009;2,19
08 Castilla - La Mancha;2008;2,38
08 Castilla - La Mancha;2007;1,36
08 Castilla - La Mancha;2006;1,6
08 Castilla - La Mancha;2005;0,52
08 Castilla - La Mancha;2004;0,58
08 Castilla - La Mancha;2003;0,12
08 Castilla - La Mancha;2002;-0,26
08 Castilla - La Mancha;2001;-0,26
08 Castilla - La Mancha;2000;-0,02
08 Castilla - La Mancha;1999;-0,38
08 Castilla - La Mancha;1998;-0,48
08 Castilla - La Mancha;1997;0,29
08 Castilla - La Mancha;1996;-0,05
08 Castilla - La Mancha;1995;0,54
08 Castilla - La Mancha;1994;0,78
08 Castilla - La Mancha;1993;0,93
08 Castilla - La Mancha;1992;1,68
08 Castilla - La Mancha;1991;1,5
08 Castilla - La Mancha;1990;2,21
08 Castilla - La Mancha;1989;2,36
08 Castilla - La Mancha;1988;2,62
08 Castilla - La Mancha;1987;2,91
08 Castilla - La Mancha;1986;2,97
08 Castilla - La Mancha;1985;2,71
08 Castilla - La Mancha;1984;3,69
08 Castilla - La Mancha;1983;3,79
08 Castilla - La Mancha;1982;5,08
08 Castilla - La Mancha;1981;4,8
08 Castilla - La Mancha;1980;5,19
08 Castilla - La Mancha;1979;5,37
08 Castilla - La Mancha;1978;5,85
08 Castilla - La Mancha;1977;5,69
08 Castilla - La Mancha;1976;6,47
08 Castilla - La Mancha;1975;5,94
09 Cataluña;2024;-1,71
09 Cataluña;2023;-1,7
09 Cataluña;2022;-1,83
09 Cataluña;2021;-1,51
09 Cataluña;2020;-2,76
09 Cataluña;2019;-0,39
09 Cataluña;2018;-0,4
09 Cataluña;2017;0,09
09 Cataluña;2016;0,75
09 Cataluña;2015;0,75
09 Cataluña;2014;1,38
09 Cataluña;2013;1,45
09 Cataluña;2012;1,93
09 Cataluña;2011;2,81
09 Cataluña;2010;3,3
09 Cataluña;2009;3,35
09 Cataluña;2008;3,95
09 Cataluña;2007;3,32
09 Cataluña;2006;3,45
09 Cataluña;2005;2,59
09 Cataluña;2004;2,84
09 Cataluña;2003;1,88
09 Cataluña;2002;1,65
09 Cataluña;2001;1,37
09 Cataluña;2000;1,25
09 Cataluña;1999;0,21
09 Cataluña;1998;0,12
09 Cataluña;1997;0,26
09 Cataluña;1996;0,13
09 Cataluña;1995;0
09 Cataluña;1994;0,31
09 Cataluña;1993;0,48
09 Cataluña;1992;0,87
09 Cataluña;1991;0,62
09 Cataluña;1990;0,73
09 Cataluña;1989;1,07
09 Cataluña;1988;1,5
09 Cataluña;1987;1,83
09 Cataluña;1986;2,27
09 Cataluña;1985;2,93
09 Cataluña;1984;3,14
09 Cataluña;1983;2,87
09 Cataluña;1982;4,46
09 Cataluña;1981;4,55
09 Cataluña;1980;6,42
09 Cataluña;1979;7,84
09 Cataluña;1978;9,32
09 Cataluña;1977;10,53
09 Cataluña;1976;10,81
09 Cataluña;1975;11,76
10 Comunitat Valenciana;2024;-2,01
10 Comunitat Valenciana;2023;-2,15
10 Comunitat Valenciana;2022;-2,76
10 Comunitat Valenciana;2021;-2,75
10 Comunitat Valenciana;2020;-2,53
10 Comunitat Valenciana;2019;-1,33
10 Comunitat Valenciana;2018;-1,47
10 Comunitat Valenciana;2017;-0,91
10 Comunitat Valenciana;2016;-0,14
10 Comunitat Valenciana;2015;-0,18
10 Comunitat Valenciana;2014;0,56
10 Comunitat Valenciana;2013;0,74
10 Comunitat Valenciana;2012;1,05
10 Comunitat Valenciana;2011;1,73
10 Comunitat Valenciana;2010;2,32
10 Comunitat Valenciana;2009;2,47
10 Comunitat Valenciana;2008;3,43
10 Comunitat Valenciana;2007;2,98
10 Comunitat Valenciana;2006;3
10 Comunitat Valenciana;2005;2,25
10 Comunitat Valenciana;2004;2,35
10 Comunitat Valenciana;2003;1,64
10 Comunitat Valenciana;2002;1,45
10 Comunitat Valenciana;2001;1,21
10 Comunitat Valenciana;2000;1,02
10 Comunitat Valenciana;1999;0,13
10 Comunitat Valenciana;1998;0,13
10 Comunitat Valenciana;1997;0,12
10 Comunitat Valenciana;1996;0,17
10 Comunitat Valenciana;1995;0,5
10 Comunitat Valenciana;1994;0,5
10 Comunitat Valenciana;1993;1,07
10 Comunitat Valenciana;1992;1,47
10 Comunitat Valenciana;1991;1,39
10 Comunitat Valenciana;1990;1,69
10 Comunitat Valenciana;1989;1,66
10 Comunitat Valenciana;1988;2,08
10 Comunitat Valenciana;1987;2,56
10 Comunitat Valenciana;1986;2,96
10 Comunitat Valenciana;1985;3,32
10 Comunitat Valenciana;1984;4,36
10 Comunitat Valenciana;1983;4,47
10 Comunitat Valenciana;1982;5,81
10 Comunitat Valenciana;1981;6,55
10 Comunitat Valenciana;1980;7,63
10 Comunitat Valenciana;1979;8,68
10 Comunitat Valenciana;1978;9,46
10 Comunitat Valenciana;1977;10,37
10 Comunitat Valenciana;1976;10,76
10 Comunitat Valenciana;1975;10,24
11 Extremadura;2024;-4,68
11 Extremadura;2023;-4,32
11 Extremadura;2022;-5,28
11 Extremadura;2021;-4,79
11 Extremadura;2020;-5,38
11 Extremadura;2019;-3,39
11 Extremadura;2018;-3,39
11 Extremadura;2017;-2,87
11 Extremadura;2016;-2,27
11 Extremadura;2015;-2,41
11 Extremadura;2014;-1,49
11 Extremadura;2013;-1,97
11 Extremadura;2012;-1,75
11 Extremadura;2011;-0,59
11 Extremadura;2010;-0,63
11 Extremadura;2009;-0,4
11 Extremadura;2008;0,27
11 Extremadura;2007;-0,72
11 Extremadura;2006;-0,22
11 Extremadura;2005;-1,1
11 Extremadura;2004;-0,49
11 Extremadura;2003;-1,19
11 Extremadura;2002;-0,73
11 Extremadura;2001;-0,41
11 Extremadura;2000;-0,22
11 Extremadura;1999;-0,71
11 Extremadura;1998;-0,52
11 Extremadura;1997;-0,02
11 Extremadura;1996;0,05
11 Extremadura;1995;0,46
11 Extremadura;1994;1,1
11 Extremadura;1993;1,16
11 Extremadura;1992;2,01
11 Extremadura;1991;1,82
11 Extremadura;1990;2,02
11 Extremadura;1989;2,67
11 Extremadura;1988;3,42
11 Extremadura;1987;3,82
11 Extremadura;1986;3,73
11 Extremadura;1985;3,72
11 Extremadura;1984;4,3
11 Extremadura;1983;4,4
11 Extremadura;1982;5,85
11 Extremadura;1981;5,08
11 Extremadura;1980;5,85
11 Extremadura;1979;5,29
11 Extremadura;1978;5,21
11 Extremadura;1977;5,02
11 Extremadura;1976;5,46
11 Extremadura;1975;5,36
12 Galicia;2024;-7,16
12 Galicia;2023;-6,95
12 Galicia;2022;-7,6
12 Galicia;2021;-6,7
12 Galicia;2020;-6,52
12 Galicia;2019;-5,76
12 Galicia;2018;-5,88
12 Galicia;2017;-5
12 Galicia;2016;-4,68
12 Galicia;2015;-4,5
12 Galicia;2014;-3,76
12 Galicia;2013;-3,89
12 Galicia;2012;-3,54
12 Galicia;2011;-2,99
12 Galicia;2010;-2,78
12 Galicia;2009;-2,76
12 Galicia;2008;-2,34
12 Galicia;2007;-3,06
12 Galicia;2006;-2,93
12 Galicia;2005;-3,04
12 Galicia;2004;-2,92
12 Galicia;2003;-3,47
12 Galicia;2002;-3,34
12 Galicia;2001;-3,32
12 Galicia;2000;-3,5
12 Galicia;1999;-3,89
12 Galicia;1998;-3,53
12 Galicia;1997;-3,49
12 Galicia;1996;-3,78
12 Galicia;1995;-3,55
12 Galicia;1994;-2,88
12 Galicia;1993;-2,18
12 Galicia;1992;-1,97
12 Galicia;1991;-2,11
12 Galicia;1990;-2
12 Galicia;1989;-1,17
12 Galicia;1988;-0,66
12 Galicia;1987;0,12
12 Galicia;1986;-0,25
12 Galicia;1985;0,76
12 Galicia;1984;1,89
12 Galicia;1983;2,26
12 Galicia;1982;3,26
12 Galicia;1981;3,88
12 Galicia;1980;5,16
12 Galicia;1979;5,55
12 Galicia;1978;6,47
12 Galicia;1977;6,39
12 Galicia;1976;6,85
12 Galicia;1975;6,59
13 Madrid, Comunidad de;2024;0,19
13 Madrid, Comunidad de;2023;0,24
13 Madrid, Comunidad de;2022;-0,03
13 Madrid, Comunidad de;2021;0,22
13 Madrid, Comunidad de;2020;-2,12
13 Madrid, Comunidad de;2019;1,29
13 Madrid, Comunidad de;2018;1,67
13 Madrid, Comunidad de;2017;2,08
13 Madrid, Comunidad de;2016;2,81
13 Madrid, Comunidad de;2015;2,82
13 Madrid, Comunidad de;2014;3,52
13 Madrid, Comunidad de;2013;3,59
13 Madrid, Comunidad de;2012;4,14
13 Madrid, Comunidad de;2011;4,74
13 Madrid, Comunidad de;2010;5,18
13 Madrid, Comunidad de;2009;5,46
13 Madrid, Comunidad de;2008;5,97
13 Madrid, Comunidad de;2007;5,44
13 Madrid, Comunidad de;2006;5,33
13 Madrid, Comunidad de;2005;4,82
13 Madrid, Comunidad de;2004;4,95
13 Madrid, Comunidad de;2003;4,49
13 Madrid, Comunidad de;2002;4,29
13 Madrid, Comunidad de;2001;3,92
13 Madrid, Comunidad de;2000;3,51
13 Madrid, Comunidad de;1999;2,62
13 Madrid, Comunidad de;1998;2,12
13 Madrid, Comunidad de;1997;2,5
13 Madrid, Comunidad de;1996;2,06
13 Madrid, Comunidad de;1995;2,08
13 Madrid, Comunidad de;1994;2,39
13 Madrid, Comunidad de;1993;2,78
13 Madrid, Comunidad de;1992;3,17
13 Madrid, Comunidad de;1991;2,74
13 Madrid, Comunidad de;1990;3,07
13 Madrid, Comunidad de;1989;3,64
13 Madrid, Comunidad de;1988;3,84
13 Madrid, Comunidad de;1987;4,5
13 Madrid, Comunidad de;1986;5,05
13 Madrid, Comunidad de;1985;5,23
13 Madrid, Comunidad de;1984;6,12
13 Madrid, Comunidad de;1983;6,36
13 Madrid, Comunidad de;1982;7,79
13 Madrid, Comunidad de;1981;8,23
13 Madrid, Comunidad de;1980;9,65
13 Madrid, Comunidad de;1979;11,34
13 Madrid, Comunidad de;1978;12,61
13 Madrid, Comunidad de;1977;13,82
13 Madrid, Comunidad de;1976;15,18
13 Madrid, Comunidad de;1975;15,23
14 Murcia, Región de;2024;0,5
14 Murcia, Región de;2023;0,42
14 Murcia, Región de;2022;0,15
14 Murcia, Región de;2021;0,74
14 Murcia, Región de;2020;0,87
14 Murcia, Región de;2019;1,8
14 Murcia, Región de;2018;2,26
14 Murcia, Región de;2017;2,42
14 Murcia, Región de;2016;3,17
14 Murcia, Región de;2015;3,24
14 Murcia, Región de;2014;4,04
14 Murcia, Región de;2013;4,1
14 Murcia, Región de;2012;4,11
14 Murcia, Región de;2011;4,94
14 Murcia, Región de;2010;5,54
14 Murcia, Región de;2009;5,69
14 Murcia, Región de;2008;6,28
14 Murcia, Región de;2007;6,07
14 Murcia, Región de;2006;6,13
14 Murcia, Región de;2005;5,53
14 Murcia, Región de;2004;5,48
14 Murcia, Región de;2003;5,35
14 Murcia, Región de;2002;4,94
14 Murcia, Región de;2001;4,9
14 Murcia, Región de;2000;4,24
14 Murcia, Región de;1999;2,93
14 Murcia, Región de;1998;3,25
14 Murcia, Región de;1997;3,63
14 Murcia, Región de;1996;3,63
14 Murcia, Región de;1995;3,75
14 Murcia, Región de;1994;3,66
14 Murcia, Región de;1993;4,51
14 Murcia, Región de;1992;5,17
14 Murcia, Región de;1991;5,06
14 Murcia, Región de;1990;5,11
14 Murcia, Región de;1989;5,4
14 Murcia, Región de;1988;5,98
14 Murcia, Región de;1987;6,31
14 Murcia, Región de;1986;6,12
14 Murcia, Región de;1985;6,59
14 Murcia, Región de;1984;7,26
14 Murcia, Región de;1983;7,6
14 Murcia, Región de;1982;9,36
14 Murcia, Región de;1981;9,48
14 Murcia, Región de;1980;11,22
14 Murcia, Región de;1979;12,02
14 Murcia, Región de;1978;12,06
14 Murcia, Región de;1977;12,79
14 Murcia, Región de;1976;13,54
14 Murcia, Región de;1975;12,24
15 Navarra, Comunidad Foral de;2024;-2,16
15 Navarra, Comunidad Foral de;2023;-2
15 Navarra, Comunidad Foral de;2022;-2,33
15 Navarra, Comunidad Foral de;2021;-0,99
15 Navarra, Comunidad Foral de;2020;-2,46
15 Navarra, Comunidad Foral de;2019;-0,3
15 Navarra, Comunidad Foral de;2018;-0,65
15 Navarra, Comunidad Foral de;2017;-0,15
15 Navarra, Comunidad Foral de;2016;0,26
15 Navarra, Comunidad Foral de;2015;0,51
15 Navarra, Comunidad Foral de;2014;1,06
15 Navarra, Comunidad Foral de;2013;1,18
15 Navarra, Comunidad Foral de;2012;2,12
15 Navarra, Comunidad Foral de;2011;2,49
15 Navarra, Comunidad Foral de;2010;2,83
15 Navarra, Comunidad Foral de;2009;2,69
15 Navarra, Comunidad Foral de;2008;2,79
15 Navarra, Comunidad Foral de;2007;2,35
15 Navarra, Comunidad Foral de;2006;2,68
15 Navarra, Comunidad Foral de;2005;1,62
15 Navarra, Comunidad Foral de;2004;2,22
15 Navarra, Comunidad Foral de;2003;1,63
15 Navarra, Comunidad Foral de;2002;1,45
15 Navarra, Comunidad Foral de;2001;1,62
15 Navarra, Comunidad Foral de;2000;0,59
15 Navarra, Comunidad Foral de;1999;0,21
15 Navarra, Comunidad Foral de;1998;0,25
15 Navarra, Comunidad Foral de;1997;0,55
15 Navarra, Comunidad Foral de;1996;0,26
15 Navarra, Comunidad Foral de;1995;0,06
15 Navarra, Comunidad Foral de;1994;0,33
15 Navarra, Comunidad Foral de;1993;0,33
15 Navarra, Comunidad Foral de;1992;0,57
15 Navarra, Comunidad Foral de;1991;0,52
15 Navarra, Comunidad Foral de;1990;0,86
15 Navarra, Comunidad Foral de;1989;1,23
15 Navarra, Comunidad Foral de;1988;1,65
15 Navarra, Comunidad Foral de;1987;1,4
15 Navarra, Comunidad Foral de;1986;1,96
15 Navarra, Comunidad Foral de;1985;2,06
15 Navarra, Comunidad Foral de;1984;3,15
15 Navarra, Comunidad Foral de;1983;3,31
15 Navarra, Comunidad Foral de;1982;4,15
15 Navarra, Comunidad Foral de;1981;5,01
15 Navarra, Comunidad Foral de;1980;5,68
15 Navarra, Comunidad Foral de;1979;6,55
15 Navarra, Comunidad Foral de;1978;7,41
15 Navarra, Comunidad Foral de;1977;8,41
15 Navarra, Comunidad Foral de;1976;8,95
15 Navarra, Comunidad Foral de;1975;8,88
16 País Vasco;2024;-4,23
16 País Vasco;2023;-3,99
16 País Vasco;2022;-4,77
16 País Vasco;2021;-3,99
16 País Vasco;2020;-4,3
16 País Vasco;2019;-2,78
16 País Vasco;2018;-2,59
16 País Vasco;2017;-2,09
